ticker,avail,ins_conv_3m,ins_convval_3m
AAMI,2025-10-03,0.0,0.0
AAMI,2026-03-03,0.0,0.0
AAMI,2026-06-03,0.0,0.0
AAMI,2026-07-03,0.0,0.0
AAMI,2026-09-03,0.0,0.0
BSIG,2019-09-03,1.0,455000.0
BSIG,2020-01-03,0.5,227500.0
BSIG,2020-03-03,0.3333333333333333,151666.66666666666
BSIG,2020-07-03,0.0,0.0
BSIG,2021-01-03,0.0,0.0
BSIG,2021-03-03,0.0,0.0
BSIG,2022-01-03,0.0,0.0
BSIG,2024-03-03,0.0,0.0
BSIG,2024-12-03,0.0,0.0
ACA,2019-04-03,0.0,0.0
ACA,2019-07-03,0.0,0.0
ACA,2020-04-03,0.3333333333333333,150343.33333333334
ACA,2020-06-03,0.3333333333333333,150343.33333333334
ACA,2020-07-03,0.3333333333333333,150343.33333333334
ACA,2021-06-03,0.0,0.0
ACA,2021-07-03,0.0,0.0
ACA,2022-12-03,0.0,0.0
ACA,2023-01-03,0.0,0.0
ACA,2023-06-03,0.0,0.0
ACA,2023-09-03,0.0,0.0
ACA,2024-06-03,0.0,0.0
ACA,2024-09-03,0.3333333333333333,331636.3333333333
ACA,2024-10-03,0.3333333333333333,331636.3333333333
ACA,2025-04-03,0.3333333333333333,331636.3333333333
ACA,2025-06-03,0.0,0.0
ACA,2025-07-03,0.0,0.0
ACA,2025-09-03,0.0,0.0
NYMT,2019-07-03,0.0,0.0
NYMT,2020-04-03,0.5,166195.0
AGYS,2019-03-03,1.0,367977.0
AGYS,2019-04-03,0.5,183988.5
AGYS,2019-05-03,0.3333333333333333,122659.0
AGYS,2019-06-03,0.0,0.0
AGYS,2019-07-03,0.0,0.0
AGYS,2019-08-03,0.0,0.0
AGYS,2019-09-03,0.0,0.0
AGYS,2019-10-03,0.0,0.0
AGYS,2020-01-03,0.0,0.0
AGYS,2020-03-03,0.0,0.0
AGYS,2020-04-03,0.0,0.0
AGYS,2020-12-03,0.0,0.0
AGYS,2021-03-03,0.0,0.0
AGYS,2021-04-03,0.0,0.0
AGYS,2021-07-03,0.0,0.0
AGYS,2021-09-03,0.0,0.0
AGYS,2021-10-03,0.0,0.0
AGYS,2022-12-03,0.0,0.0
AGYS,2023-02-03,0.0,0.0
AGYS,2023-03-03,0.0,0.0
AGYS,2023-04-03,0.0,0.0
AGYS,2023-06-03,0.0,0.0
AGYS,2023-07-03,0.0,0.0
AGYS,2023-09-03,0.0,0.0
AGYS,2023-12-03,0.0,0.0
AGYS,2024-01-03,0.0,0.0
AGYS,2024-02-03,0.0,0.0
AGYS,2024-03-03,0.0,0.0
AGYS,2024-04-03,0.0,0.0
AGYS,2024-06-03,0.0,0.0
AGYS,2024-07-03,0.0,0.0
AGYS,2024-08-03,0.0,0.0
AGYS,2024-09-03,0.0,0.0
AGYS,2024-10-03,0.0,0.0
AGYS,2024-12-03,0.0,0.0
AGYS,2025-01-03,0.0,0.0
AGYS,2025-02-03,0.0,0.0
AGYS,2025-04-03,0.0,0.0
AGYS,2025-07-03,0.0,0.0
AGYS,2025-08-03,0.0,0.0
AGYS,2025-11-03,0.0,0.0
AGYS,2025-12-03,0.0,0.0
AGYS,2026-03-03,0.0,0.0
AGYS,2026-04-03,0.0,0.0
AGYS,2026-07-03,0.0,0.0
AGYS,2026-09-03,0.0,0.0
AGYS,2026-10-03,0.0,0.0
ALRM,2019-02-03,0.0,0.0
ALRM,2019-03-03,0.0,0.0
ALRM,2019-04-03,0.0,0.0
ALRM,2019-05-03,0.0,0.0
ALRM,2019-06-03,0.0,0.0
ALRM,2019-07-03,0.0,0.0
ALRM,2019-09-03,0.0,0.0
ALRM,2019-12-03,0.0,0.0
ALRM,2020-02-03,0.0,0.0
ALRM,2020-03-03,0.0,0.0
ALRM,2020-04-03,0.0,0.0
ALRM,2020-05-03,0.0,0.0
ALRM,2020-06-03,0.0,0.0
ALRM,2020-07-03,0.0,0.0
ALRM,2020-08-03,0.0,0.0
ALRM,2020-09-03,0.0,0.0
ALRM,2020-10-03,0.0,0.0
ALRM,2020-11-03,0.0,0.0
ALRM,2020-12-03,0.0,0.0
ALRM,2021-01-03,0.0,0.0
ALRM,2021-02-03,0.0,0.0
ALRM,2021-03-03,0.0,0.0
ALRM,2021-04-03,0.0,0.0
ALRM,2021-05-03,0.0,0.0
ALRM,2021-06-03,0.0,0.0
ALRM,2021-07-03,0.0,0.0
