date,ticker,proba,ref_close,stop,model,universe,market
2025-12-02,KSS,0.4405,24.15,20.52,wide-seed0-v1,smallcap,IWM
2025-12-02,DAVE,0.4405,202.65,172.25,wide-seed0-v1,smallcap,IWM
2025-12-02,OGN,0.4405,7.45,6.33,wide-seed0-v1,smallcap,IWM
2025-12-02,INDV,0.4405,34.0,28.9,wide-seed0-v1,smallcap,IWM
2025-12-02,TMDX,0.4205,141.77,120.5,wide-seed0-v1,smallcap,IWM
2025-12-02,NGVT,0.4205,51.64,43.89,wide-seed0-v1,smallcap,IWM
2025-12-02,AGX,0.3707,356.45,302.98,wide-seed0-v1,smallcap,IWM
2025-12-02,PRDO,0.3286,28.19,23.97,wide-seed0-v1,smallcap,IWM
2025-12-02,ACAD,0.3034,25.43,21.62,wide-seed0-v1,smallcap,IWM
2025-12-02,JOE,0.3034,60.91,51.78,wide-seed0-v1,smallcap,IWM
2025-12-02,PENN,0.3034,14.69,12.49,wide-seed0-v1,smallcap,IWM
2025-12-02,FMC,0.3034,13.46,11.44,wide-seed0-v1,smallcap,IWM
2025-12-02,QDEL,0.3034,26.53,22.55,wide-seed0-v1,smallcap,IWM
2025-12-02,MIR,0.3034,24.82,21.1,wide-seed0-v1,smallcap,IWM
2025-12-02,CLSK,0.3034,13.71,11.65,wide-seed0-v1,smallcap,IWM
2025-12-02,DAN,0.3034,22.14,18.82,wide-seed0-v1,smallcap,IWM
2025-12-02,RCUS,0.3034,25.43,21.62,wide-seed0-v1,smallcap,IWM
2025-12-02,AMTM,0.3034,28.72,24.41,wide-seed0-v1,smallcap,IWM
2025-12-02,VSAT,0.3034,33.57,28.53,wide-seed0-v1,smallcap,IWM
2025-12-02,AZTA,0.3034,35.15,29.88,wide-seed0-v1,smallcap,IWM
2026-08-12,AAMI,0.3402,92.19,78.36,wide-seed0-v1,smallcap,IWM
2026-08-12,QDEL,0.3402,14.83,12.61,wide-seed0-v1,smallcap,IWM
2026-08-12,DXC,0.3402,10.68,9.08,wide-seed0-v1,smallcap,IWM
2026-08-12,HUBG,0.3402,40.21,34.18,wide-seed0-v1,smallcap,IWM
2026-08-12,KSS,0.3402,19.14,16.27,wide-seed0-v1,smallcap,IWM
2026-08-12,AOSL,0.3402,36.28,30.84,wide-seed0-v1,smallcap,IWM
2026-08-12,AGX,0.3402,572.1,486.28,wide-seed0-v1,smallcap,IWM
2026-08-12,ACAD,0.3402,29.45,25.03,wide-seed0-v1,smallcap,IWM
2026-08-12,EYE,0.3009,19.51,16.58,wide-seed0-v1,smallcap,IWM
2026-08-12,BL,0.3009,28.42,24.16,wide-seed0-v1,smallcap,IWM
