date,equity
2011-01-01,100000.0
2011-01-02,100000.0
2011-01-03,100000.0
2011-01-04,99948.7027
2011-01-05,97937.3714
2011-01-06,99253.3987
2011-01-07,97545.8174
2011-01-08,97925.8804
2011-01-09,97925.8804
2011-01-10,97925.8804
2011-01-11,98939.072
2011-01-12,99188.6063
2011-01-13,99293.8358
2011-01-14,98698.4826
2011-01-15,99273.2238
2011-01-16,99273.2238
2011-01-17,99273.2238
2011-01-18,99273.2238
2011-01-19,99443.1808
2011-01-20,96029.1708
2011-01-21,95761.578
2011-01-22,95039.2935
2011-01-23,95039.2935
2011-01-24,95039.2935
2011-01-25,96380.039
2011-01-26,96432.8919
2011-01-27,98448.33
2011-01-28,98775.0566
2011-01-29,94565.6417
2011-01-30,94565.6417
2011-01-31,94565.6417
2011-02-01,96095.7184
2011-02-02,98583.0291
2011-02-03,98049.1455
2011-02-04,97658.7936
2011-02-05,98720.0322
2011-02-06,98720.0322
2011-02-07,98720.0322
2011-02-08,100585.8011
2011-02-09,100812.2208
2011-02-10,100775.8546
2011-02-11,101170.3227
2011-02-12,101850.0238
2011-02-13,101850.0238
2011-02-14,101850.0238
2011-02-15,101110.2551
2011-02-16,100628.7204
2011-02-17,101420.1316
2011-02-18,100936.9551
2011-02-19,100103.374
2011-02-20,100103.374
2011-02-21,100103.374
2011-02-22,100103.374
2011-02-23,97130.5836
2011-02-24,95255.1666
2011-02-25,96061.4258
2011-02-26,98850.7511
2011-02-27,98850.7511
2011-02-28,98850.7511
2011-03-01,98715.0552
2011-03-02,96506.9811
2011-03-03,98106.844
2011-03-04,100062.2054
2011-03-05,99751.1251
2011-03-06,99751.1251
2011-03-07,99751.1251
2011-03-08,97472.3972
2011-03-09,99009.4356
2011-03-10,98665.3402
2011-03-11,95761.7935
2011-03-12,96582.3132
2011-03-13,96582.3132
2011-03-14,96582.3132
2011-03-15,95518.1209
2011-03-16,95294.0777
2011-03-17,93921.0572
2011-03-18,94939.1645
2011-03-19,94860.876
2011-03-20,94860.876
2011-03-21,94860.876
2011-03-22,96561.5037
2011-03-23,95787.6295
2011-03-24,95715.134
2011-03-25,96925.6747
2011-03-26,97938.1636
2011-03-27,97938.1636
