realization_month,qc_picks_raw,qc_picks_current,qc_n,local_picks,local_n,pick_intersection_n,pick_union_n,pick_jaccard,exact_pick_match
2011-03,"DAN,EMN,PENN,PSMT,RUSHA,SM","DAN,EMN,PENN,PSMT,RUSHA,SM",6,"DAN,EMN,PSMT,RUSHA,SAFE,SM",6,5,7,0.7142857142857143,False
2011-04,"BRKS,DAN,EMN,HLIT,PLUS,SM","AZTA,DAN,EMN,HLIT,PLUS,SM",6,"AZTA,DAN,HLIT,PLUS,SAFE,SM",6,5,7,0.7142857142857143,False
2011-05,"BRKS,EMN,PLUS,PSMT,RCII,SM","AZTA,EMN,PLUS,PSMT,SM,UPBD",6,"AZTA,EMN,PLUS,PSMT,SM,UPBD",6,6,6,1.0,True
2011-06,"ACAD,DAN,EMN,PLUS,PSMT,SM","ACAD,DAN,EMN,PLUS,PSMT,SM",6,"ACAD,DAN,EMN,PSMT,SAFE,SM",6,5,7,0.7142857142857143,False
2011-07,"ACAD,DAN,EMN,PENN,PSMT,SM","ACAD,DAN,EMN,PENN,PSMT,SM",6,"DAN,EMN,PENN,PSMT,SAFE,SM",6,5,7,0.7142857142857143,False
2011-08,"EMN,KLIC,KMT,NPO,PSMT,SM","EMN,KLIC,KMT,NPO,PSMT,SM",6,"EMN,KLIC,NPO,PSMT,SAFE,SM",6,5,7,0.7142857142857143,False
2011-09,"ACAD,AGYS,KLIC,NPO,PSMT,SM","ACAD,AGYS,KLIC,NPO,PSMT,SM",6,"ACAD,AGYS,KLIC,PSMT,SAFE,SM",6,5,7,0.7142857142857143,False
2011-10,"ACAD,BRKS,KLIC,NSSC,PSMT,SM","ACAD,AZTA,KLIC,NSSC,PSMT,SM",6,"ACAD,AZTA,NSSC,PSMT,SAFE,SM",6,5,7,0.7142857142857143,False
2011-11,"ACAD,CRI,NSSC,PSMT,QDEL,SM","ACAD,CRI,NSSC,PSMT,QDEL,SM",6,"ACAD,CRI,NSSC,PSMT,QDEL,SM",6,6,6,1.0,True
2011-12,"ACAD,AGX,AGYS,NSSC,PSMT,SM","ACAD,AGX,AGYS,NSSC,PSMT,SM",6,"ACAD,AGX,AGYS,NSSC,PSMT,SM",6,6,6,1.0,True
2012-01,"AGX,AGYS,CRI,KLIC,PSMT,SM","AGX,AGYS,CRI,KLIC,PSMT,SM",6,"AGX,AGYS,CRI,KLIC,PSMT,SM",6,6,6,1.0,True
2012-02,"AGX,AGYS,CRI,LKFN,NSSC,PSMT","AGX,AGYS,CRI,LKFN,NSSC,PSMT",6,"AGX,AGYS,CRI,LKFN,NSSC,PSMT",6,6,6,1.0,True
2012-03,"AGX,AGYS,CRI,NSSC,PSMT,SXT","AGX,AGYS,CRI,NSSC,PSMT,SXT",6,"AGX,AGYS,CRI,NSSC,PSMT,SXT",6,6,6,1.0,True
2012-04,"AGX,AGYS,CRI,KLIC,PSMT,QDEL","AGX,AGYS,CRI,KLIC,PSMT,QDEL",6,"AGX,AGYS,CRI,KLIC,PSMT,QDEL",6,6,6,1.0,True
2012-05,"AGX,AGYS,CRI,NSSC,PSMT,QDEL","AGX,AGYS,CRI,NSSC,PSMT,QDEL",6,"AGX,AGYS,CRI,NSSC,PSMT,QDEL",6,6,6,1.0,True
2012-06,"AGX,CRI,FMC,NSSC,PMT,PSMT","AGX,CRI,FMC,NSSC,PMT,PSMT",6,"AGX,CRI,FMC,NSSC,PMT,PSMT",6,6,6,1.0,True
2012-07,"AGX,CRI,GET,PMT,PSMT,UVV","AGX,CRI,PMT,PSMT,RHP,UVV",6,"AGX,CRI,PMT,PSMT,RHP,UVV",6,6,6,1.0,True
2012-08,"CRI,GET,MHK,PMT,RCII,UVV","CRI,MHK,PMT,RHP,UPBD,UVV",6,"AGX,CRI,MHK,PMT,RHP,UVV",6,5,7,0.7142857142857143,False
2012-09,"AGX,CRI,FMC,GET,HMN,SHO","AGX,CRI,FMC,HMN,RHP,SHO",6,"AGX,CRI,FMC,HMN,RHP,SHO",6,6,6,1.0,True
2012-10,"ACAD,AGX,CRI,GET,MHK,SHO","ACAD,AGX,CRI,MHK,RHP,SHO",6,"ACAD,AGX,CRI,MHK,RHP,SHO",6,6,6,1.0,True
2012-11,"ACAD,GET,MHK,NSSC,PMT,SHO","ACAD,MHK,NSSC,PMT,RHP,SHO",6,"ACAD,MHK,NSSC,PMT,RHP,SHO",6,6,6,1.0,True
