ticker,filed_date,period_end,qeps,eps_ttm,bvps
AAPL,2021-10-29,2021-09-25,5.61,5.61,3.740901453484597
AAPL,2022-10-28,2022-09-24,6.11,6.11,3.1037952827971447
AAPL,2023-11-03,2023-09-30,6.13,6.13,3.930170136411294
AAPL,2024-11-01,2024-09-28,6.08,6.08,3.696109090708488
AAPL,2025-10-31,2025-09-27,7.46,7.46,4.913994597824934
ABBV,2022-02-18,2021-12-31,6.45,6.45,8.670793472144062
ABBV,2023-02-17,2022-12-31,6.63,6.63,9.70416197975253
ABBV,2024-02-20,2023-12-31,2.72,2.72,5.843203609701072
ABBV,2025-02-14,2024-12-31,2.39,2.39,1.8753525098702764
ABBV,2026-02-20,2025-12-31,2.37,2.37,-1.8432919954904172
AMZN,2022-02-04,2021-12-31,3.24,3.24,13.421844660194175
AMZN,2023-02-03,2022-12-31,-0.27,-0.27,14.333398763372264
AMZN,2024-02-02,2023-12-31,2.9,2.9,19.240850171559284
AMZN,2025-02-07,2024-12-31,5.53,5.53,26.67381774088238
AMZN,2026-02-06,2025-12-31,7.17,7.17,37.96665743049783
COST,2021-10-06,2021-08-29,11.27,11.27,39.52775539782062
COST,2022-10-05,2022-08-28,13.14,13.14,46.411860858851014
COST,2023-10-11,2023-09-03,14.16,14.16,56.379541547793686
COST,2024-10-09,2024-09-01,16.56,16.56,53.111910045665184
COST,2025-10-08,2025-08-31,18.21,18.21,65.5661045451582
CVX,2022-02-24,2021-12-31,8.14,8.14,72.42035645936129
CVX,2023-02-23,2022-12-31,18.28,18.28,82.09240227039747
CVX,2024-02-26,2023-12-31,11.36,11.36,85.6014469977509
CVX,2025-02-21,2024-12-31,9.72,9.72,83.84775531459285
CVX,2026-02-24,2025-12-31,6.63,6.63,100.45797413793103
JNJ,2022-02-17,2022-01-02,7.81,7.81,27.682498130142108
JNJ,2023-02-16,2023-01-01,6.73,6.73,28.83141259056271
JNJ,2024-02-16,2023-12-31,13.72,13.72,26.86064677394157
JNJ,2025-02-13,2024-12-29,5.79,5.79,29.427019017041246
JNJ,2026-02-11,2025-12-28,11.03,11.03,33.565489421256274
JPM,2022-02-22,2021-12-31,15.36,15.36,97.18066477235182
JPM,2023-02-21,2022-12-31,12.09,12.09,98.42828282828283
JPM,2024-02-16,2023-12-31,16.23,16.23,111.40566069790357
JPM,2025-02-14,2024-12-31,19.75,19.75,119.74921847863841
JPM,2026-02-13,2025-12-31,20.05,20.05,129.7340444571715
KO,2022-02-22,2021-12-31,2.25,2.25,5.299308755760369
KO,2023-02-21,2022-12-31,2.19,2.19,5.541379310344827
KO,2024-02-20,2023-12-31,2.47,2.47,5.978566489974648
KO,2025-02-20,2024-12-31,2.46,2.46,5.753703703703704
KO,2026-02-20,2025-12-31,3.04,3.04,7.458613494087642
MSFT,2022-07-28,2022-06-30,9.65,9.65,22.087798408488062
MSFT,2023-07-27,2023-06-30,9.68,9.68,27.59943790149893
MSFT,2024-07-30,2024-06-30,11.8,11.8,35.94550810014727
MSFT,2025-07-30,2025-06-30,13.64,13.64,46.011922304085736
MSFT,2026-07-29,2026-06-30,17.95,17.95,59.35690326043204
UNH,2022-02-15,2021-12-31,18.08,18.08,75.06276150627615
UNH,2023-02-24,2022-12-31,21.18,21.18,81.86526315789473
UNH,2023-12-31,2023-12-31,23.86,23.86,94.62260127931769
UNH,2025-02-27,2024-12-31,15.51,15.51,99.7395048439182
UNH,2026-03-02,2025-12-31,13.23,13.23,103.41758241758242
V,2021-11-18,2021-09-30,5.63,5.63,17.17961608775137
V,2022-11-16,2022-09-30,7.0,7.0,16.657771535580526
V,2023-11-15,2023-09-30,8.28,8.28,18.576978417266186
V,2024-11-13,2024-09-30,9.73,9.73,19.288812222769838
V,2025-11-06,2025-09-30,10.2,10.2,19.2822990844354
XOM,2022-02-23,2021-12-31,5.39,5.39,39.43321637426901
XOM,2023-02-22,2022-12-31,13.26,13.26,46.38501783590963
XOM,2024-02-28,2023-12-31,8.89,8.89,50.54343534057256
XOM,2025-02-19,2024-12-31,7.84,7.84,61.3552815262913
XOM,2026-02-18,2025-12-31,6.7,6.7,60.25226480836237
